Product,Description,Contains
Tesco 5 Pack Jam Doughnuts,Jam Doughnut 5PK,Milk
Lindt Excellence Mint Intense Dark Chocolate,Fine dark chocolate with an intense taste of mint,Milk
ASDA Guacamole,"Avocado dip with double cream, tomatoes, lime juice, coriander and chillies",Milk
Haribo Jelly Beans,Assorted Flavour Sugar Coated Gums,Beeswax
Alpen Light Summer Fruit Cereal Bars,"Mixed cereal bar with apple, sweetened cranberry, raspberry and strawberry juice, and a yoghurt flavour drizzle.","Lactose,Milk"
Tesco Jam Sandwich Creams Biscuit,Shortcake biscuits sandwiched with a vanilla flavour cream and raspberry jam,Milk
Fruittella Juicy Chews,"Assorted Chewy Sweets with Strawberry, Orange and Lemon Flavours","Gelatin,Gelatine"
Nature Valley Sweet & Salty Dark Chocolate With Nuts,"Chewy peanut, almond and oat bar with dark chocolate pieces (10%) dipped in a chocolate flavoured coating.","Honey,Lactose,Milk"
Lindt Lindor 60% Dark Chocolate Truffles,Extra dark chocolate with a smooth melting filling,"Lactose,Milk"
Belvita Soft Bakes Chocolate Chip,Soft baked biscuits made with wholegrain cereals and chocolate chips and added minerals.,Milk
Mcvities Dark Chocolate Digestives,Wheatmeal Biscuits Covered in Plain Chocolate,Milk
Sensations Thai Sweet Chilli,Thai Sweet Chilli Flavour Potato Crisps,Milk
Krispy Kreme Original Glazed Doughnuts,Bring some light and fluffy joy into your day with our signature glazed doughnut.,"Egg,Milk"
Cadbury Chocolate Fingers,Crisp Biscuits Covered with Cadbury Milk Chocolate,Milk
Walkers Max Flamin Hot Crisps,Fiercely Flamin' Hot Flavour Ridged Potato Crisps,"Milk,Whey"
Smiths Frazzles Bacon Snacks,Crispy Bacon Flavour Corn Snack,"Lactose,Milk,Whey"
Kellogg's Crunchy Nut Peanut Butter Clusters,"Oat, Maize, Wheat and Peanut Clusters.",Milk
Tesco Crunchy Cookie Cereal,Chocolate flavoured wheat and maize cereal fortified with vitamins and iron.,Milk
Maynards Wine Gums,Fruit flavour gums.,"Gelatin,Gelatine"
