Product,Description
Greggs Glazed Ring Doughnuts,A ring doughnut topped with fondant icing.
Nestle Frosted Shreddies Cereal,Sugar Frosted Fortified Whole Wheat Malted Cereal
Nestle Cookie Crisp Cereal,Fortified Crispy Wheat and Maize Cereal with Chocolate Flavour Chips
Rowntrees Fruit Pastilles,Fruit Pastilles
Belvita Soft Filled Chocolate Biscuits,Soft baked biscuits made with wholegrain cereals and a chocolate-hazelnut flavour filling (15 %) and added minerals.
Tesco Jelly Beans,Assorted fruit flavour jelly beans.
Tesco Guacamole,"A blend of avocado with tomato, coriander and red chilli."
Alpen Light Jaffa Cake Cereal Bars,Mixed cereal bar with orange flavoured fruity pieces and plain chocolate with a plain chocolate drizzle
Lotus Biscoff Sandwich Original Cream,Caramelised sandwich biscuits with a biscoff cream filling.
Graze Cocoa & Vanilla Bar,Wholegrain oat cocoa & vanilla flavoured flapjacks with mixed seeds & soy protein
Starburst Fruit Chews,"Chewy Candy with Apple, Orange, Blackcurrant, Strawberry, Lime and Lemon Flavours and Concentrated Fruit Juices."
Tesco Dark Chocolate Digestives,Digestive biscuits half coated in dark chocolate
Jammie Dodgers Jam Biscuits,Shortcake biscuits with a raspberry flavoured apple jam.
Pringles Bbq,Texas Barbecue Sauce Flavour Savoury Snack
Co-op Bakery 5 Jam Ball Doughnuts,Jam Doughnut 5s
Green & Blacks Mint Dark Chocolate,Chocolate with peppermint oil.
Cadbury Bourneville Chocolate Fingers,Crisp biscuits covered with dark chocolate (48 %).
Doritos Chilli Heatwave Tortilla Chips,Chilli Heatwave Flavour Corn Chips
Oreos Original Vanilla,Chocolate Flavour Sandwich Biscuits with a Vanilla Flavour Filling
Tesco Bacon Rashers Snacks,"Bacon flavour baked snacks made with maize, rice and soya."
